A11,A12,A13,Q1,A14,Q2,Q02,A30,A31,A32,A33,A34,Q3,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,Q5,Q05,QQ5,A61,A62,A63,A64,A65,Q06,A71,A72,A73,A74,A75,Q8,A91,A92,A93,A94,A95,A101,A102,A103,Q11,A121,A122,A123,A124,Q13,A141,A142,A143,A151,A152,A153,Q16,A171,A172,A173,A174,Q18,A191,A192,A202,Type1,Type2
1,0,0,1,0,6,1,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,1169,2,0.05845,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0,1,0,0,4,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,1,0,1,0,0,1
0,0,0,0,1,12,2,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,2096,3,0.1048,1,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,2,1,0,0,0,1
1,0,0,1,0,42,5,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,7882,5,0.3941,1,0,0,0,0,1,0,0,0,1,0,4,0,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,2,1,0,0,0,1
0,0,0,0,1,36,4,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,9055,5,0.45275,0,0,0,0,1,0,0,0,1,0,0,4,0,0,1,0,0,1,0,0,4,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,2,0,1,0,0,1
0,0,0,0,1,24,3,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,2835,3,0.14175,0,0,1,0,0,3,0,0,0,0,1,4,0,0,1,0,0,1,0,0,4,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,1,0,2,0,36,4,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,6948,5,0.3474,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1
0,0,0,0,1,12,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,3059,4,0.15295,0,0,0,1,0,4,0,0,0,1,0,4,1,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1
0,1,0,2,0,12,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1567,2,0.07835,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
1,0,0,1,0,15,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1403,2,0.07015,1,0,0,0,0,1,0,0,1,0,0,4,0,1,0,0,0,1,0,0,4,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1
0,0,0,0,1,24,3,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,2424,3,0.1212,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0,1,0,0,4,0,1,0,0,0,0,0,1,0,1,0,2,0,0,1,0,1,1,0,0,0,1
1,0,0,1,0,30,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8072,5,0.4036,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,3,0,0,1,0,1,1,0,0,0,1,0,3,0,0,1,0,1,1,0,0,0,1
0,0,0,0,1,24,3,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,3430,4,0.1715,0,0,1,0,0,3,0,0,0,0,1,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,2,0,1,0,0,1
0,0,0,0,1,9,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,2134,3,0.1067,1,0,0,0,0,1,0,0,1,0,0,4,0,0,1,0,0,1,0,0,4,0,0,1,0,0,0,0,1,0,1,0,3,0,0,1,0,1,0,1,0,0,1
1,0,0,1,0,6,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2647,3,0.13235,0,0,1,0,0,3,0,0,1,0,0,3,0,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,2,1,0,0,0,1
1,0,0,1,0,10,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,2241,3,0.11205,1,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,2,1,0,1,0,1
